"dataset"	"root_id"	"supervoxel_id"	"side"	"soma_division"	"class"	"type"	"synonyms"	"hemilineage"	"group"	"subclass"	"cell_id"
"FANC"	"648518346488768234"	"73256337194400123"	"L"	"brain"	"DN"	"DNg02"	""	NA	"73256337194223615"	NA	"10442"
"FANC"	"648518346496641076"	"73256337194235316"	"L"	"brain"	"DN"	"DNg02"	""	NA	"73256337194223615"	NA	"10466"
"FANC"	"648518346476867528"	"73256337194399511"	"L"	"brain"	"DN"	"DNg02"	""	NA	"73256337194223615"	NA	"10389"
"FANC"	"648518346520612150"	"73256337194232430"	"L"	"brain"	"DN"	"DNg02"	""	NA	"73256337194223615"	NA	"10473"
"FANC"	"648518346491459496"	"73256337194210285"	"L"	"brain"	"DN"	"DNg02"	""	NA	"73256337194223615"	NA	"10448"
"FANC"	"648518346481633725"	"73256337194255496"	"L"	"brain"	"DN"	"DNg02"	""	NA	"73256337194223615"	NA	"10379"
"FANC"	"648518346497897370"	"73256337194226613"	"L"	"brain"	"DN"	"DNg02"	""	NA	"73256337194223615"	NA	"10401"
"FANC"	"648518346493969465"	"73537812171037249"	"R"	"brain"	"DN"	"DNg02"	""	NA	"73256337194223615"	NA	"10889"
"FANC"	"648518346487781911"	"73537812171090827"	"R"	"brain"	"DN"	"DNg02"	""	NA	"73256337194223615"	NA	"10919"
"FANC"	"648518346500703081"	"73537812171017154"	"R"	"brain"	"DN"	"DNg02"	""	NA	"73256337194223615"	NA	"10883"
"FANC"	"648518346480845056"	"73537812103789985"	"R"	"brain"	"DN"	"DNg02"	""	NA	"73256337194223615"	NA	"10896"
"FANC"	"648518346496734253"	"73537812103754850"	"R"	"brain"	"DN"	"DNg02"	""	NA	"73256337194223615"	NA	"10893"
"FANC"	"648518346497168664"	"73537812171053377"	"R"	"brain"	"DN"	"DNg02"	""	NA	"73256337194223615"	NA	"10879"
"FANC"	"648518346490473469"	"73537812170914997"	"R"	"brain"	"DN"	"DNg02"	""	NA	"73256337194223615"	NA	"10907"
"FANC"	"648518346499690892"	"73537812103759226"	"R"	"brain"	"DN"	"DNg02"	""	NA	"73256337194223615"	NA	"10905"
"FANC"	"648518346487354026"	"73537812103776969"	"R"	"brain"	"DN"	"DNg02"	""	NA	"73256337194223615"	NA	"10908"
"FANC"	"648518346496695524"	"73537812170990466"	"R"	"brain"	"DN"	"DNg02"	""	NA	"73537812170990466"	NA	"10948"
"FANC"	"648518346472982628"	"73256337261355368"	"L"	"brain"	"DN"	"DNg02"	""	NA	"73537812170990466"	NA	"10478"
"FANC"	"648518346492458683"	"73537812171047906"	"R"	"brain"	"DN"	"DNg02"	""	NA	"73537812171047906"	NA	"10931"
"FANC"	"648518346470346238"	"73256337261332303"	"L"	"brain"	"DN"	"DNg02"	""	NA	"73537812171047906"	NA	"10400"
"FANC"	"648518346504153324"	"73537812171037291"	"R"	"brain"	"DN"	"DNg02"	""	NA	"73537812171037291"	NA	"10927"
"FANC"	"648518346490882081"	"73256337194245532"	"L"	"brain"	"DN"	"DNg02"	""	NA	"73537812171037291"	NA	"10407"
"FANC"	"648518346493036864"	"73256337194223659"	"L"	"brain"	"DN"	"DNg03"	""	NA	"73537812103743988"	NA	"10418"
"FANC"	"648518346488372105"	"73256337194226417"	"L"	"brain"	"DN"	"DNg03"	""	NA	"73537812103743988"	NA	"10390"
"FANC"	"648518346472166962"	"73256337194205208"	"L"	"brain"	"DN"	"DNg03"	""	NA	"73537812103743988"	NA	"10428"
"FANC"	"648518346494579883"	"73256337194202908"	"L"	"brain"	"DN"	"DNg03"	""	NA	"73537812103743988"	NA	"10409"
"FANC"	"648518346488588017"	"73256337194188818"	"L"	"brain"	"DN"	"DNg03"	""	NA	"73537812103743988"	NA	"10451"
"FANC"	"648518346509813542"	"73256337194197769"	"L"	"brain"	"DN"	"DNg03"	""	NA	"73537812103743988"	NA	"10471"
"FANC"	"648518346500236348"	"73256337261332146"	"L"	"brain"	"DN"	"DNg03"	""	NA	"73537812103743988"	NA	"10475"
"FANC"	"648518346487792464"	"73537812103743988"	"R"	"brain"	"DN"	"DNg03"	""	NA	"73537812103743988"	NA	"10918"
"FANC"	"648518346502298535"	"73537812103719320"	"R"	"brain"	"DN"	"DNg03"	""	NA	"73537812103743988"	NA	"10906"
"FANC"	"648518346486606307"	"73537812170969658"	"R"	"brain"	"DN"	"DNg03"	""	NA	"73537812103743988"	NA	"10915"
"FANC"	"648518346489283929"	"73537812103749055"	"R"	"brain"	"DN"	"DNg03"	""	NA	"73537812103743988"	NA	"10934"
"FANC"	"648518346485335315"	"73537812103726810"	"R"	"brain"	"DN"	"DNg03"	""	NA	"73537812103743988"	NA	"10914"
"FANC"	"648518346492490683"	"73537812103834688"	"R"	"brain"	"DN"	"DNg03"	""	NA	"73537812103743988"	NA	"10929"
"FANC"	"648518346481229967"	"73537812103862141"	"R"	"brain"	"DN"	"DNg03"	""	NA	"73537812103743988"	NA	"10920"
"FANC"	"648518346517615464"	"73537812171140749"	"R"	"brain"	"DN"	"DNg04"	""	NA	"73537812171140749"	NA	"11002"
"FANC"	"648518346480662237"	"73256337261463863"	"L"	"brain"	"DN"	"DNg04"	""	NA	"73537812171140749"	NA	"10312"
"FANC"	"648518346500565683"	"73537812171190730"	"R"	"brain"	"DN"	"DNg04"	""	NA	"73537812171140749"	NA	"11048"
"FANC"	"648518346514245319"	"73256337261514049"	"L"	"brain"	"DN"	"DNg04"	""	NA	"73537812171140749"	NA	"10308"
"FANC"	"648518346507038024"	"73256337261538850"	"L"	"brain"	"DN"	"DNg05"	"knees"	NA	"73256337261284381"	NA	"10255"
"FANC"	"648518346495852390"	"73537812171110474"	"R"	"brain"	"DN"	"DNg05"	"knees"	NA	"73256337261284381"	NA	"11343"
"FANC"	"648518346510931842"	"73537812103772985"	"R"	"brain"	"DN"	"DNg05"	"knees"	NA	"73537812103772985"	NA	"10884"
"FANC"	"648518346490497277"	"73256337194271778"	"L"	"brain"	"DN"	"DNg05"	"knees"	NA	"73537812103772985"	NA	"10465"
"FANC"	"648518346472925284"	"73537812171083972"	"R"	"brain"	"DN"	"DNg05"	"knees"	NA	"73537812103772985"	NA	"11017"
"FANC"	"648518346531141146"	"73256337261461077"	"L"	"brain"	"DN"	"DNg05"	"knees"	NA	"73537812103772985"	NA	"10279"
"FANC"	"648518346482749605"	"73256337261477449"	"L"	"brain"	"DN"	"DNg06"	""	NA	"73256337261477449"	NA	"10254"
"FANC"	"648518346485760708"	"73256337261498684"	"L"	"brain"	"DN"	"DNg06"	""	NA	"73256337261477449"	NA	"10292"
"FANC"	"648518346488844522"	"73537812170873795"	"R"	"brain"	"DN"	"DNg06"	""	NA	"73256337261477449"	NA	"10944"
"FANC"	"648518346491896850"	"73537812171086467"	"R"	"brain"	"DN"	"DNg06"	""	NA	"73256337261477449"	NA	"10876"
"FANC"	"648518346481509279"	"73256337261490825"	"L"	"brain"	"DN"	"DNg06"	""	NA	"73256337261490825"	NA	"10268"
