class	supervoxel_id	root_id	group	side	type	synonyms	neuropil	neuropilgroup	confidence	SA subclass	xyz	x	y	z
AN	79873748060325297	720575940620706486	720575940620706486	R	AN_AVLP_52		AVLP	AVLP_AMMC_WED	5		(135083, 84208, 5798)	135083	84208	5798
AN	79521766900482577	720575940618542808	720575940603574374	L	AN_AVLP_53		AVLP	AVLP_AMMC_WED	5		(129266, 82209, 5798)	129266	82209	5798
AN	79521766900478147	720575940607136707	720575940603574374	L	AN_AVLP_53		AVLP	AVLP_AMMC_WED	5		(129335, 82394, 5798)	129335	82394	5798
AN	79521766900472596	720575940611427697	720575940603574374	L	AN_AVLP_53		AVLP	AVLP_AMMC_WED	5		(129337, 82531, 5798)	129337	82531	5798
AN	79521766900482584	720575940611444633	720575940603574374	L	AN_AVLP_53		AVLP	AVLP_AMMC_WED	5		(129379, 82221, 5798)	129379	82221	5798
AN	79521766900480333	720575940609073506	720575940603574374	L	AN_AVLP_53		AVLP	AVLP_AMMC_WED	5		(129381, 82369, 5798)	129381	82369	5798
AN	79521835619950109	720575940652663457	720575940603574374	L	AN_AVLP_53		AVLP	AVLP_AMMC_WED	5		(129393, 82581, 5798)	129393	82581	5798
AN	79521766900481734	720575940625923527	720575940603574374	L	AN_AVLP_53		AVLP	AVLP_AMMC_WED	5		(129395, 82521, 5798)	129395	82521	5798
AN	79521766900473470	720575940635989390	720575940603574374	L	AN_AVLP_53		AVLP	AVLP_AMMC_WED	5		(129400, 82309, 5798)	129400	82309	5798
AN	79521766900472101	720575940603574374	720575940603574374	L	AN_AVLP_53		AVLP	AVLP_AMMC_WED	5		(129405, 82020, 5798)	129405	82020	5798
AN	79521766900475919	720575940641703584	720575940603574374	L	AN_AVLP_53		AVLP	AVLP_AMMC_WED	5		(129411, 82412, 5798)	129411	82412	5798
AN	79521766900478239	720575940626426823	720575940603574374	L	AN_AVLP_53		AVLP	AVLP_AMMC_WED	5		(129427, 82477, 5798)	129427	82477	5798
AN	79521766900480273	720575940620677302	720575940603574374	L	AN_AVLP_53		AVLP	AVLP_AMMC_WED	5		(129445, 82242, 5798)	129445	82242	5798
AN	79521766900474747	720575940618899041	720575940603574374	L	AN_AVLP_53		AVLP	AVLP_AMMC_WED	5		(129477, 82439, 5798)	129477	82439	5798
AN	79521766900477005	720575940635905893	720575940603574374	L	AN_AVLP_53		AVLP	AVLP_AMMC_WED	5		(129500, 82221, 5798)	129500	82221	5798
AN	79521766900481482	720575940626210949	720575940603574374	L	AN_AVLP_53		AVLP	AVLP_AMMC_WED	5		(129718, 82283, 5798)	129718	82283	5798
AN	79873679340847294	720575940635677668	720575940603574374	R	AN_AVLP_53		AVLP	AVLP_AMMC_WED	5		(134761, 83231, 5798)	134761	83231	5798
AN	79944048085025357	720575940634858096	720575940603574374	R	AN_AVLP_53		AVLP	AVLP_AMMC_WED	5		(135224, 83273, 5798)	135224	83273	5798
AN	79944048085025273	720575940628116183	720575940603574374	R	AN_AVLP_53		AVLP	AVLP_AMMC_WED	5		(135450, 83204, 5798)	135450	83204	5798
AN	79944048085026718	720575940613608089	720575940603574374	R	AN_AVLP_53		AVLP	AVLP_AMMC_WED	5		(135494, 83238, 5798)	135494	83238	5798
AN	79944048085023873	720575940629856505	720575940603574374	R	AN_AVLP_53		AVLP	AVLP_AMMC_WED	5		(135530, 83202, 5798)	135530	83202	5798
AN	79944048085029361	720575940620637576	720575940603574374	R	AN_AVLP_53		AVLP	AVLP_AMMC_WED	5		(135547, 83151, 5798)	135547	83151	5798
AN	79944048085023839	720575940605256894	720575940603574374	R	AN_AVLP_53		AVLP	AVLP_AMMC_WED	5		(135604, 83144, 5798)	135604	83144	5798
AN	79944048085025263	720575940629598521	720575940603574374	R	AN_AVLP_53		AVLP	AVLP_AMMC_WED	5		(135604, 83181, 5798)	135604	83181	5798
AN	79944048085027896	720575940614607675	720575940603574374	R	AN_AVLP_53		AVLP	AVLP_AMMC_WED	5		(135617, 83066, 5798)	135617	83066	5798
