class	supervoxel_id	root_id	group	side	type	systematic_type	synonyms	comment	long_tract	soma_location	soma_division	neuropil	manc_match_id	manc_group	confidence_manc_match_1_5	subclass_MANC
DN	73185968718736519	648518346481850015	73185968718736519	L	DNfl037	DNfl037			none		brain	fl	19864	18784	5	fl
DN	73608181183974452	648518346499625868	73185968718736519	R	DNfl037	DNfl037			none		brain	fl	24087	18784	5	fl
DN	73678549927854509	648518346497090328	73185968718736519	R	DNfl037	DNfl037			none		brain	fl	18784	18784	5	fl
DN	73608181183960802	648518346511555952	73185968718617326	R	DNfl038	DNfl038			DMT		brain	fl	17865	17522	4	fl
DN	73185968718617326	648518346479292561	73185968718617326	L	DNfl038	DNfl038			DMT		brain	fl	17522	17522	4	fl
DN	73537812439596268	648518346490893857	73537812439596268	R	DNfl039	DNfl039			none		brain	fl	17995	17494	5	fl
DN	73256337462707069	648518346521560057	73537812439596268	L	DNfl039	DNfl039			none		brain	fl	17494	17494	5	fl
DN	73115599907394308	648518346493883193	73115599907394308	L	DNfl040	DNfl040			none		brain	fl	17400	17400	5	fl
DN	73608181116591718	648518346499168347	73115599907394308	R	DNfl040	DNfl040			none		brain	fl	17547	17400	5	fl
DN	73608181250686556	648518346501642569	73185968718803933	R	DNfl041	DNfl041			VLT		brain	fl	16817	16817	5	fl
DN	73185968718803933	648518346517833576	73185968718803933	L	DNfl041	DNfl041			VLT		brain	fl	17830	16817	5	fl
DN	73608181183850109	648518346498878785	73185968718434117	R	DNfl042	DNfl042			none		brain	fl	19266	16393	5	fl
DN	73185968718434117	648518346489960401	73185968718434117	L	DNfl042	DNfl042			none		brain	fl	16393	16393	5	fl
DN	73185968651651937	648518346493685361	NO MATCH	L	DNfl993				DLT		brain	fl				
DN	73678549793714525	648518346492679342	NO MATCH	R	DNfl994				DLT		brain	fl				
DN	73185968651649621	648518346494061088	NO MATCH	L	DNfl995				none		brain	fl				
DN	73256337597011981	648518346495986237	NO MATCH	L	DNfl996				none		brain	fl				
DN	73608180915161261	648518346466522478	NO MATCH	R	DNfl997				none		brain	fl				
DN	73678549927686382	648518346499635596	73115599974453205	R	DNfl998				none		brain	fl				
DN	73115599974453205	648518346484042791	73115599974453205	L	DNfl998				none		brain	fl				
DN	73397075018336285	648518346489926171	73397075085486890	R	DNfl999				none		brain	fl				
DN	73397075085486890	648518346493069120	73397075085486890	R	DNfl999				none		brain	fl				
DN	73256337194245824	648518346480418049	73256337194245824	L	DNg01	DNut006			MTD-II	g	brain	ut	25409	18840	4	ut
DN	73537812103752723	648518346491431486	73256337194245824	R	DNg01	DNut006			MTD-II	g	brain	ut	167965	18840	4	ut
DN	73537812103730867	648518346482762982	73537812103730867	R	DNg01	DNut006			MTD-II	g	brain	ut	26979	18840	4	ut
DN	73256337194235307	648518346496163959	73537812103730867	L	DNg01	DNut006			MTD-II	g	brain	ut	29175	18840	4	ut
DN	73256337194362184	648518346459520004	73256337194362184	L	DNg02	DNut010			MTD-II	g	brain	ut	30441	18145	5	ut
DN	73537812171084013	648518346489369708	73256337194362184	R	DNg02	DNut010			MTD-II	g	brain	ut	25925	18145	5	ut
DN	73256337194400123	648518346488768234	73256337194223615	L	DNg02	DNut007			MTD-II	g	brain	xn	29447	26362	5	ut
DN	73256337194235316	648518346496641076	73256337194223615	L	DNg02	DNut007			MTD-II	g	brain	xn	28350	26362	5	ut
DN	73256337194399511	648518346476867528	73256337194223615	L	DNg02	DNut007			MTD-II	g	brain	xn	27361	26362	5	ut
DN	73256337194232430	648518346520612150	73256337194223615	L	DNg02	DNut008			MTD-II	g	brain	xn	25449	24705	5	ut
DN	73256337194210285	648518346491459496	73256337194223615	L	DNg02	DNut008			MTD-II	g	brain	ut	25171	24705	5	ut
DN	73256337194255496	648518346481633725	73256337194223615	L	DNg02	DNut008			MTD-II	g	brain	xn	25825	24705	5	ut
DN	73256337194226613	648518346497897370	73256337194223615	L	DNg02	DNut009			MTD-II	g	brain	ut	24845	18893	5	ut
DN	73537812171037249	648518346493969465	73256337194223615	R	DNg02	DNut008			MTD-II	g	brain	ut	24705	24705	5	ut
DN	73537812171090827	648518346487781911	73256337194223615	R	DNg02	DNut008			MTD-II	g	brain	xn	25473	24705	5	ut
DN	73537812171017154	648518346500703081	73256337194223615	R	DNg02	DNut008			MTD-II	g	brain	xn	25041	24705	5	ut
DN	73537812103789985	648518346480845056	73256337194223615	R	DNg02	DNut009			MTD-II	g	brain	xn	22676	18893	5	ut
DN	73537812103754850	648518346496734253	73256337194223615	R	DNg02	DNut009			MTD-II	g	brain	xn	19182	18893	5	ut
DN	73537812171053377	648518346497168664	73256337194223615	R	DNg02	DNut009			MTD-II	g	brain	xn	18893	18893	5	ut
DN	73537812170914997	648518346490473469	73256337194223615	R	DNg02	DNut007			MTD-II	g	brain	ut	26362	26362	5	ut
DN	73537812103759226	648518346499690892	73256337194223615	R	DNg02	DNut009			MTD-II	g	brain	ut	28172	18893	5	ut
DN	73537812103776969	648518346487354026	73256337194223615	R	DNg02	DNut007			MTD-II	g	brain	ut	27877	26362	5	ut
DN	73537812170990466	648518346496695524	73537812170990466	R	DNg02	DNut010			MTD-II	g	brain	xn	21714	18145	5	ut
DN	73256337261355368	648518346472982628	73537812170990466	L	DNg02	DNut010			MTD-II	g	brain	xn	22475	18145	5	ut
DN	73537812171047906	648518346492458683	73537812171047906	R	DNg02	DNut010			MTD-II	g	brain	wt	21908	18145	5	ut
DN	73256337261332303	648518346470346238	73537812171047906	L	DNg02	DNut010			MTD-II	g	brain	ut	18145	18145	5	ut
DN	73537812171037291	648518346504153324	73537812171037291	R	DNg02	DNut007			MTD-II	g	brain	ut	28680	26362	5	ut
DN	73256337194245532	648518346490882081	73537812171037291	L	DNg02	DNut009			MTD-II	g	brain	ut	22412	18893	5	ut
DN	73256337194223659	648518346493036864	73537812103743988	L	DNg03	DNut011			MTD-II	g	brain	ut	27097	25543	5	ut
DN	73256337194226417	648518346488372105	73537812103743988	L	DNg03	DNut011			MTD-II	g	brain	ut	28303	25543	5	ut
DN	73256337194205208	648518346472166962	73537812103743988	L	DNg03	DNut011			MTD-II	g	brain	ut	27482	25543	5	ut
DN	73256337194202908	648518346494579883	73537812103743988	L	DNg03	DNut011			MTD-II	g	brain	ut	26850	25543	5	ut
DN	73256337194188818	648518346488588017	73537812103743988	L	DNg03	DNut011			MTD-II	g	brain	xn	26189	25543	5	ut
DN	73256337194197769	648518346509813542	73537812103743988	L	DNg03	DNut011			MTD-II	g	brain	ut	27723	25543	5	ut
DN	73256337261332146	648518346500236348	73537812103743988	L	DNg03	DNut011			MTD-II	g	brain	xn	28752	25543	5	ut
DN	73537812103743988	648518346487792464	73537812103743988	R	DNg03	DNut011			MTD-II	g	brain	ut	28594	25543	5	ut
DN	73537812103719320	648518346502298535	73537812103743988	R	DNg03	DNut011			MTD-II	g	brain	xn	27450	25543	5	ut
DN	73537812170969658	648518346486606307	73537812103743988	R	DNg03	DNut011			MTD-II	g	brain	ut	27371	25543	5	ut
DN	73537812103749055	648518346489283929	73537812103743988	R	DNg03	DNut011			MTD-II	g	brain	xn	26321	25543	5	ut
DN	73537812103726810	648518346485335315	73537812103743988	R	DNg03	DNut011			MTD-II	g	brain	xn	27207	25543	5	ut
DN	73537812103834688	648518346492490683	73537812103743988	R	DNg03	DNut011			MTD-II	g	brain	xn	25543	25543	5	ut
DN	73537812103862141	648518346481229967	73537812103743988	R	DNg03	DNut011			MTD-II	g	brain	xn	27152	25543	5	ut
DN	73537812171140749	648518346517615464	73537812171140749	R	DNg04	DNut012			MTD-II	g	brain	ut	18852	14340	5	ut
