xyz	x	y	z	supervoxel_id	root_id	root_side	soma_side	class	type	long_tract
(37615, 75200, 1681)	37615	75200	1681	73326706206873665	648518346518930143	L	R	AN	AN08B113	
(37643, 75200, 1688)	37643	75200	1688	73326706206957514	648518346499806419	L	R	AN	AN08B113	
(37681, 75200, 1680)	37681	75200	1680	73326706206783059	648518346499709927	L	R	AN	AN08B113	
(37711, 75200, 1683)	37711	75200	1683	73326706206922725	648518346504159584	L	R	AN	AN08B113	
(37735, 75200, 1675)	37735	75200	1675	73326706206833731	648518346477651726	L	R	AN	AN08B994	
(37674, 75200, 1673)	37674	75200	1673	73326706140217240	648518346502586535	L	R	AN	AN08B997	
(37469, 75200, 1732)	37469	75200	1732	73326706207051898	648518346514215211	L	R	AN	AN10B045	
(37532, 75200, 1733)	37532	75200	1733	73326706207049717	648518346497039076	L	R	AN	AN10B046	
(37572, 75200, 1735)	37572	75200	1735	73326706207066080	648518346490256155	L	R	AN	AN10B049	
(37641, 75200, 1730)	37641	75200	1730	73326706207063804	648518346500114431	L	L	AN	AN10B051	
(37624, 75200, 1741)	37624	75200	1741	73326706207082374	648518346489801946	L		DN	DNxn154	none
(37690, 75200, 1752)	37690	75200	1752	73326706207106520	648518346524105221	L	R	AN	AN08B010	
(37959, 75200, 1750)	37959	75200	1750	73326706207094231	648518346487696107	L	R	AN	AN08B010	
(37834, 75200, 1735)	37834	75200	1735	73326706207073050	648518346500232664	L	R	AN	AN08B028	
(37978, 75200, 1721)	37978	75200	1721	73326706207013866	648518346504133070	L	R	AN	AN05B104	
(38067, 75200, 1716)	38067	75200	1716	73326706206997088	648518346475825378	L	R	AN	AN10B045	
(38103, 75200, 1709)	38103	75200	1709	73326706206997161	648518346489777625	L	R	AN	AN10B060	
(38171, 75200, 1711)	38171	75200	1711	73326706206992678	648518346500874774	L	R	AN	ANXXX090	
(38119, 75200, 1717)	38119	75200	1717	73326706207028517	648518346494732309	L	R	AN	AN10B045	
(38105, 75200, 1724)	38105	75200	1724	73326706207028523	648518346518634070	L	R	AN	AN08B009	
(38187, 75200, 1719)	38187	75200	1719	73326706207018327	648518346486299026	L	R	doubleseed		
(38216, 75200, 1735)	38216	75200	1735	73326706207044821	648518346482428308	L	R	AN	AN08B024	
(38312, 75200, 1734)	38312	75200	1734	73326706207044828	648518346492546747	L		DN	DNg57	VTV
(38531, 75200, 1724)	38531	75200	1724	73326706207054320	648518346517524522	L	R	AN	AN05B007	
(38366, 75200, 1748)	38366	75200	1748	73326706207094216	648518346480202811	L		DN	DNxn129	VTV
(38128, 75200, 1760)	38128	75200	1760	73326706207122673	648518346491170851	L	R	AN	ANXXX055	
(38898, 75200, 1732)	38898	75200	1732	73326706207030959	648518346499424743	L	R	AN	AN05B096	
(39097, 75200, 1731)	39097	75200	1731	73397074951222365	648518346517404709	L	R	AN	AN05B105	
(39212, 75200, 1740)	39212	75200	1740	73397074951254086	648518346477819406	L	L	AN	ANXXX019	
(38855, 75200, 1767)	38855	75200	1767	73326706207148603	648518346495991869	L		DN	DNp69	VTV
(39035, 75200, 1757)	39035	75200	1757	73397074951302022	648518346498272666	L	R	AN	AN05B100	
(38650, 75200, 1796)	38650	75200	1796	73326706207179540	648518346479326171	L		DN	DNp04	VTV
(38462, 75200, 1816)	38462	75200	1816	73326706274099374	648518346490075996	L	L	AN	AN17A014	
(38428, 75200, 1827)	38428	75200	1827	73326706274129002	648518346494916490	L	R	AN	AN09B004	
(38177, 75200, 1835)	38177	75200	1835	73326706274128993	648518346508881215	L	R	AN	AN09B001	
(38070, 75200, 1855)	38070	75200	1855	73326706274191912	648518346472711689	L	L	AN	AN17A014	
(38083, 75200, 1865)	38083	75200	1865	73326706274209002	648518346478892884	L	R	AN	AN05B060	
(38022, 75200, 1871)	38022	75200	1871	73326706274227324	648518346489811325	L	R	AN	AN09B035	
(38019, 75200, 1883)	38019	75200	1883	73326706274269235	648518346477717468	L		DN	DNxn186	VTV
(38040, 75200, 1894)	38040	75200	1894	73326706274281404	648518346478189781	L	L	AN	AN05B050	
(37973, 75200, 1894)	37973	75200	1894	73326706274299831	648518346499613022	L	L	AN	AN17A009	
(37835, 75200, 1906)	37835	75200	1906	73326706274304936	648518346499530331	L	R	AN	ANXXX102	
(37537, 75200, 1930)	37537	75200	1930	73326706341011521	648518346489555289	L	R	AN	AN07B004	
(37678, 75200, 1939)	37678	75200	1939	73326706341168974	648518346499920083	L		other		
(37718, 75200, 1946)	37718	75200	1946	73326706341199183	648518346496811522	L	R	AN	AN05B106	
(37641, 75200, 1955)	37641	75200	1955	73326706341210945	648518346511753840	L	R	AN	AN05B027	
(37666, 75200, 1962)	37666	75200	1962	73326706341218563	648518346502660166	L	R	AN	AN09B028	
(37558, 75200, 1974)	37558	75200	1974	73326706341246410	648518346482905385	L	R	AN	AN09B018	
(37497, 75200, 1998)	37497	75200	1998	73326706341279285	648518346491635398	L		DN	DNxn180	VTV
(37411, 75200, 2011)	37411	75200	2011	73326706341300523	648518346507029279	L		DN	DNg103	VTV
(37349, 75200, 1999)	37349	75200	1999	73326706341280602	648518346496969089	L	R	AN	AN05B047	
(37273, 75200, 1996)	37273	75200	1996	73326706341281935	648518346491244833	L	R	AN	AN05B046	
(37253, 75200, 2002)	37253	75200	2002	73326706341287582	648518346496183398	L	R	AN	AN05B083	
(37179, 75200, 1999)	37179	75200	1999	73326706341279284	648518346470406654	L	R	AN	AN05B078	
(37120, 75200, 1995)	37120	75200	1995	73326706341274832	648518346501345814	L	R	AN	AN05B081	
(37205, 75200, 1988)	37205	75200	1988	73326706341268484	648518346517987176	L	R	AN	AN05B029	
(37352, 75200, 1991)	37352	75200	1991	73326706341274843	648518346496961837	L	R	AN	AN05B005	
(37357, 75200, 1982)	37357	75200	1982	73326706341260986	648518346496275468	L	R	AN	AN05B024	
(37267, 75200, 1978)	37267	75200	1978	73326706341252889	648518346494720021	L	L	AN	AN17A003	
(37369, 75200, 1965)	37369	75200	1965	73326706341249744	648518346494977418	L	R	AN	AN05B017	
(37490, 75200, 1959)	37490	75200	1959	73326706341227836	648518346493914872	L	R	AN	AN05B026	
(37431, 75200, 1971)	37431	75200	1971	73326706341243139	648518346459858436	L	R	AN	ANXXX999	
(37230, 75200, 1968)	37230	75200	1968	73326706341227821	648518346531197210	L		DN	DNxn127	VTV
(37157, 75200, 1978)	37157	75200	1978	73326706341246402	648518346484413223	L	R	AN	AN09B030	
(37067, 75200, 1979)	37067	75200	1979	73326706341249612	648518346480945885	L	R	AN	AN09B032	
(37044, 75200, 1988)	37044	75200	1988	73326706341270050	648518346502021449	L	R	AN	AN13B002	
(36923, 75200, 1986)	36923	75200	1986	73326706341262488	648518346496003659	L	R	AN	ANXXX264	
(36849, 75200, 1981)	36849	75200	1981	73256337597074859	648518346514659783	L	R	AN	AN05B040	
(36748, 75200, 1981)	36748	75200	1981	73256337597068862	648518346492132652	L		DN	DNxl071	VTV
(36711, 75200, 1985)	36711	75200	1985	73256337597076153	648518346475225185	L		DN	DNxl071	VTV
(36593, 75200, 1988)	36593	75200	1988	73256337597080171	648518346465192565	L		DN	DNfl013	VTV
(36437, 75200, 1985)	36437	75200	1985	73256337597065894	648518346520522806	L		DN	DNxl132	VTV
