class	bodyid	group	side	type	systematic_type	synonyms	comment	long_tract	soma_location	soma_division	neuropil	predicted_nt	predicted_nt_prob	FANC_supervoxel_id	FANC_match	FANC_group	confidence_fanc_match_1_5
DN	176812	12029	R	DNg80	DNxn066	gumdrop		CVL	g	brain	xn	unk	0.6884863073	73467443829639115	648518346483728303	73185968852658786	4
DN	12029	12029	L	DNg80	DNxn066	gumdrop		CVL	g	brain	xn	GABA	0.7336462381	73185968852658786	648518346493685105	73185968852658786	4
DN	22629	22629	R	DNg81	DNxn067			none	g	brain	xn	unk	0.5745480693	73608180915109492	648518346479261888	73608180915109492	5
DN	22713	22629	L	DNg81	DNxn067			none	g	brain	xn	unk	0.5669931952	73185968584426187	648518346479425746	73608180915109492	5
DN	19046	18765	L	DNg82	DNut030			MTD-II	g	brain	ut	unk	0.6914183376	73256337194241717	648518346499176030	73537812171071986	5
DN	18765	18765	R	DNg82	DNut030			MTD-II	g	brain	ut	ACH	0.7335807497	73537812171071986	648518346478779344	73537812171071986	5
DN	154601	39724	L	DNg83	DNfl009			VTV	g	brain	fl	GABA	0.7438244387	73467443829667849	648518346471661467	73256337597102622	3
DN	39724	39724	R	DNg83	DNfl009			VTV	g	brain	fl	GABA	0.75541272	73256337597102622	648518346486169001	73256337597102622	3
DN	27011	25870	L	DNg84	DNxn068			VTV	g	brain	xn	ACH	0.9057927262	73326706274264465	648518346514066731	73326706274264465	3
DN	25870	25870	R	DNg84	DNxn068			VTV	g	brain	xn	ACH	0.924448902	73397075018374281	648518346512518814	73326706274264465	3
DN	26448	26448	R	DNg85	DNfl010			VTV	g	brain	fl	ACH	0.9766603317	73397075085376947	648518346497179564	73326706341252916	4
DN	26603	26448	L	DNg85	DNfl010			VTV	g	brain	fl	ACH	0.9791325432	73326706341252916	648518346506729250	73326706341252916	4
DN	15772	14623	L	DNg87	DNxl043			VTV	g	brain	xl	ACH	0.9705973129	73326706341006065	648518346517622888	73326706341006065	5
