class	cell_id	supervoxel_id	root_id	group	side	type	systematic_type	synonyms	comment	soma_division	neuropil	hemilineage	manc_match_id	manc_group	manc_type	fanc_type	xyz
AN	13095	73256337328720649	648518346515390023	648518346467398151	R	AN19B104	AN19B104		dimorphic morphology	T3	ht	19B	25146	25146	AN19B104		(35904, 75200, 1483)
AN	13142	73537812305604287	648518346509880521	648518346509880521	L	AN19B106	AN19B106			T3	ht	19B	30145	20280	AN19B106		(44399, 75200, 1537)
AN	13064	73467443628264570	648518346498472688	648518346493384690	L	AN23B001	AN23B001			T2	xn	23B	10882	10882	AN23B001		(41846, 75200, 1573)
AN	13051	73256337395719978	648518346493384690	648518346493384690	R	AN23B001	AN23B001			T2	xn	23B	14281	10882	AN23B001		(36297, 75200, 1591)
AN	13048	73185968584613286	648518346486034558	648518346486034558	R	AN23B002	AN23B002			T2	xn	23B	10859	10859	AN23B002		(33544, 75200, 1540)
AN	13047	73537812372447906	648518346494937266	648518346486034558	L	AN23B002	AN23B002			T2	xn	23B	11715	10859	AN23B002		(43107, 75200, 1582)
AN	13180	73537812439322463	648518346475489889	648518346475489889	L	AN23B003	AN23B003			T3	xl	23B	10163	10163	AN23B003		(43317, 75200, 1678)
AN	13189	73256337395697776	648518346482406036	648518346475489889	R	AN23B003	AN23B003			T3	xl	23B	153076	10163	AN23B003		(36010, 75200, 1579)
AN	13053	73608181183963311	648518346502948083	648518346502948083	L	AN23B004	AN23B004			T2	xl	23B	11213	11162	AN23B004		(46395, 75200, 1788)
AN	13042	73185968651527378	648518346503226235	648518346502948083	R	AN23B004	AN23B004			T2	xl	23B	11162	11162	AN23B004		(34049, 75200, 1581)
AN	12796	73326706206970145	648518346482915113	648518346482915113	L	AN23B010	AN23B010			T1	fl	23B	13651	13484	AN23B010		(38121, 75200, 1693)
AN	12773	73397075018359815	648518346506469154	648518346482915113	R	AN23B010	AN23B010			T1	fl	23B	13484	13484	AN23B010		(39886, 75200, 1855)
AN	12554	73537812439730899	648518346488179998	648518346488179998	R	AN26X004	AN26X004			T1	fl	26X	22896	22896	AN26X004		(44266, 75200, 1789)
AN	12502	73185968718581362	648518346497077272	648518346488179998	R	AN26X004	AN26X004			T1	fl	26X	24698	22896	AN26X004		(34276, 75200, 1684)
AN	12619	73256337597032047	648518346492167535	648518346492167535	L	AN27X003	AN27X003			T1	xn	27X	11095	10400	AN27X003		(34896, 75200, 1953)
AN	12561	73537812573607307	648518346494321522	648518346492167535	R	AN27X003	AN27X003			T1	xn	27X	10400	10400	AN27X003		(43621, 75200, 1944)
AN	13476	73678549927754301	648518346479332028	648518346479332028	L	AN27X004	AN27X004	MtAHN		T3	xn	27X	42819	11003	AN27X004		(47265, 75200, 1694)
AN	13492	73115599907495600	648518346498606100	648518346479332028	R	AN27X004	AN27X004	MtAHN		T3	xn	27X	11003	11003	AN27X004		(31779, 75200, 1651)
AN	12939	73678549793544293	648518346478901712	648518346478901712	L	AN27X008	AN27X008	MDHn;MsAHN	biological variability	T2	ut	27X	12536	12536	AN27X008		(47529, 75200, 1435)
AN	12935	73115599907330372	648518346489573207	648518346478901712	R	AN27X008	AN27X008	MDHn;MsAHN	biological variability	T2	ut	27X	13926	12536	AN27X008		(30989, 75200, 1579)
AN	12564	73397074884088164	648518346492559547	648518346492559547	L	AN27X009	AN27X009			T1	ut	27X	12016	12016	AN27X009		(39136, 75200, 1582)
AN	12948	73397074816951274	648518346492679865	648518346492559547	L	AN27X009	AN27X009			T2	xn	27X	10446	10378	AN27X009		(40131, 75200, 1449)
AN	12971	73397074749895432	648518346501426019	648518346492559547	R	AN27X009	AN27X009			T2	xn	27X	10378	10378	AN27X009		(40775, 75200, 1334)
