dn_type	LM_stack_id	URL	slide_code_notes	VFB_IDs	synonyms	reference	notes
DNp08	R89A03-20190904_63_C2-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20190904_63_C2					
DNp09	R38F04-20181005_63_G3-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20181005_63_G3					
DNp10	R48E11-20181016_61_J1-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20181016_61_J1					
DNp11	SS02891-20150218_31_F1-f	https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?slidecode=20150218_31_F1		FBbt_00047644, FBbt_00111495	AMMC-Db3	https://onlinelibrary.wiley.com/doi/epdf/10.1002/cne.23955?sa	
DNp12	R47E06-20150625_20_A4-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20150625_20_A4					
DNp13	SS61090-20190214_31_B4-m	https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?slidecode=20190214_31_B4	sexually dimorphic, for female SS61090-20190214_31_B1-fng	FBbt_00047646, FBbt_00049941			
DNp14	R10C06-20191022_62_K2-m	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20191022_62_K2					
DNp15	SS01556-20140718_32_H2-f	https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?slidecode=20140718_32_H2			DNHS1	https://www.jneurosci.org/content/36/46/11768?utm_source=TrendMD&utm_medium=cpc&utm_campaign=JNeurosci_TrendMD_0	
DNp16	SS00735-20160715_42_C6-f	https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?slidecode=20160715_42_C6					
DNp17	SS02553-20150408_31_H1-f	https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?slidecode=20150408_31_H1					
DNp18	SS02392-20141231_33_I1-f	https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?slidecode=20141231_33_I1		FBbt_00047651, FBbt_00111488	AMMC-Di3	https://onlinelibrary.wiley.com/doi/epdf/10.1002/cne.23955?sa	
DNp19	SS01592-20140821_19_C4-f	https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?slidecode=20140821_19_C4					
